,Brand,Model,Engine Capacity (CC),Transmission Type,Year,Features
1557,Speranza,A113,1000 - 1300,Manual,2008,"['ABS', 'Air Conditioning', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Fog Lights', 'Off-Road Tyres', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'USB Charger']"
1558,Skoda,Octavia,1400 - 1500,Automatic,2021,[]
1559,Skoda,Octavia,1600,Automatic,2010,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'USB Charger']"
1560,Daewoo,Nubira,1600,Manual,2007,"['Air Conditioning', 'Power Windows']"
1561,Toyota,Corolla,1600,Automatic,2022,[]
1562,Mitsubishi,Lancer,1600,Automatic,2018,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Bluetooth System', 'Leather Seats', 'Power Steering', 'Power Windows', 'Touch Screen']"
1563,Porsche,Macan,More than 3000,Automatic,2015,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
1564,Opel,Vectra,1600,Automatic,2008,['Rear View Camera']
1565,MG,HS,1600,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
1566,Mercedes-Benz,SEL 300,More than 3000,Automatic,1990,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Fog Lights', 'Power Steering', 'Power Windows']"
1567,BMW,X5,More than 3000,Automatic,2018,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
1568,Seat,Leon,1000 - 1300,Automatic,2014,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Fog Lights', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'USB Charger']"
1569,Mercedes-Benz,E220,1800 - 2000,Automatic,2004,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'Fog Lights', 'Navigation System', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Touch Screen', 'USB Charger']"
1570,MG,6,1400 - 1500,Automatic,2021,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Rear View Camera', 'Sunroof', 'Touch Screen', 'USB Charger']"
1571,Volkswagen,Tiguan,,Automatic,2020,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Rear View Camera', 'Roof Rack', 'Touch Screen', 'USB Charger']"
1572,Chevrolet,Trailblazer,More than 3000,Automatic,2004,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'Fog Lights', 'Leather Seats', 'Off-Road Tyres', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Roof Rack', 'Touch Screen', 'USB Charger']"
1573,Opel,Astra,1600,Automatic,2014,[]
1574,Jeep,Wrangler,More than 3000,Automatic,2011,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'Fog Lights', 'Leather Seats', 'Off-Road Tyres', 'Power Locks', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'USB Charger']"
1575,Nissan,Qashqai,1400 - 1500,Automatic,2020,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
1576,Mercedes-Benz,GLA 200,1600,Automatic,2018,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
1577,Mercedes-Benz,CLA 180,1600,Automatic,2017,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Sunroof', 'Touch Screen']"
1578,Hyundai,Elantra,1600,Automatic,2021,[]
1579,Subaru,Impreza,1600,Automatic,2018,[]
1580,Chevrolet,Optra,1600,Automatic,2020,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
1581,Chevrolet,Optra,1400 - 1500,Automatic,2017,[]
1582,Seat,Ibiza,1600,Automatic,2019,[]
1583,BMW,318,1800 - 2000,Automatic,2003,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'EBD', 'Fog Lights', 'Leather Seats', 'Navigation System', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Touch Screen', 'USB Charger']"
1584,Mitsubishi,Lancer,1600,Automatic,2015,"['ABS', 'Air Conditioning', 'Airbags', 'EBD', 'Keyless Start', 'Parking Sensors', 'Power Locks', 'Power Windows', 'Sunroof', 'Touch Screen']"
1585,Fiat,Tipo,1600,Automatic,2018,[]
1586,Opel,Astra,1600,Automatic,2016,[]
1587,Nissan,Sunny,1600,Automatic,2020,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'EBD', 'Fog Lights', 'Navigation System', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Sunroof', 'USB Charger']"
1588,Speranza,A516,1600,Manual,2008,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'EBD', 'Fog Lights', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Touch Screen', 'USB Charger']"
1589,Mercedes-Benz,B200,1600,Automatic,2013,[]
1590,Fiat,Tipo,1600,Automatic,2022,[]
1591,Volkswagen,Golf,1400 - 1500,Automatic,2014,[]
1592,Hyundai,Elantra,1600,Automatic,2010,"['Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'EBD', 'Fog Lights', 'Leather Seats', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Touch Screen', 'USB Charger']"
1593,Chevrolet,Aveo,1400 - 1500,Automatic,2015,"['Alarm/Anti-Theft System', 'Bluetooth System', 'Fog Lights', 'Leather Seats', 'Parking Sensors', 'Power Locks', 'Premium Wheels/Rims', 'Rear View Camera', 'Touch Screen', 'USB Charger']"
1594,Chevrolet,Cruze,1600,Automatic,2015,"['Air Conditioning', 'AM/FM Radio', 'Bluetooth System', 'Power Locks', 'USB Charger']"
1595,Mercedes-Benz,GLC 300,,Automatic,2023,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
1596,Subaru,XV,1600,Automatic,2014,[]
1597,Daewoo,Lanos,1400 - 1500,Manual,2001,"['ABS', 'AM/FM Radio', 'Bluetooth System', 'Leather Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Touch Screen']"
1598,Land Rover,Range Rover Sport,More than 3000,Automatic,2016,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
1599,Nissan,Qashqai,1000 - 1300,Automatic,2017,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Roof Rack', 'Sunroof', 'USB Charger']"
1600,MG,6,1400 - 1500,Automatic,2020,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Bluetooth System', 'Cruise Control', 'EBD', 'Keyless Start', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Rear View Camera', 'Sunroof', 'Touch Screen']"
1601,Chevrolet,Astro,More than 3000,Automatic,1989,[]
1602,DFSK,Glory 330,1400 - 1500,Manual,2022,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'EBD', 'Fog Lights', 'Leather Seats', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Touch Screen', 'USB Charger']"
1603,Toyota,Yaris,1000 - 1300,Automatic,2007,[]
1604,Mercedes-Benz,E250,More than 3000,Automatic,2011,[]
1605,Audi,Q7,1800 - 2000,Automatic,2019,[]
1606,Chery,Tiggo,1600,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
1607,Land Rover,Velar,1800 - 2000,Automatic,2021,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
1608,Fiat,Doblo,1600,Manual,2022,[]
1609,Nissan,Tiida,1600,Automatic,2013,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Fog Lights', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows']"
1610,Jeep,Wrangler,More than 3000,Automatic,2017,[]
1611,Isuzu,Other,,Manual,2017,[]
1612,Nissan,Sunny,1400 - 1500,Automatic,2013,[]
1613,Kia,Cerato,1600,Automatic,2016,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Fog Lights', 'Leather Seats', 'Power Locks', 'Power Mirrors', 'Power Steering', 'USB Charger']"
1614,Hyundai,Accent,1600,Automatic,2012,[]
1615,Nissan,Sunny,1400 - 1500,Automatic,2020,"['ABS', 'Air Conditioning', 'AM/FM Radio', 'Aux Audio In', 'Fog Lights', 'Leather Seats', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'USB Charger']"
1616,Peugeot,301,1600,Automatic,2014,[]
1617,BMW,X5,More than 3000,Automatic,2019,[]
1618,Skoda,Kodiaq,1400 - 1500,Automatic,2019,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Windows', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
1619,Hyundai,Accent,1600,Automatic,2010,[]
1620,Opel,Insignia,1400 - 1500,Automatic,2019,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
1621,Nissan,Qashqai,1000 - 1300,Automatic,2016,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
1622,BYD,F3,1400 - 1500,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Rear View Camera', 'Touch Screen', 'USB Charger']"
1623,Opel,Grandland,1600,Automatic,2020,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Sunroof', 'Touch Screen', 'USB Charger']"
1624,Mercedes-Benz,E200,1800 - 2000,Automatic,2021,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
1625,Mercedes-Benz,GLC 250,,Automatic,2023,[]
1626,Chery,Envy,1600,Manual,2018,"['Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Fog Lights', 'Leather Seats', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'USB Charger']"
1627,Opel,Insignia,1400 - 1500,Automatic,2019,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Sunroof', 'Touch Screen', 'USB Charger']"
1628,Jeep,Wrangler,More than 3000,Automatic,2010,"['Air Conditioning', 'Airbags', 'Aux Audio In']"
1629,Nissan,Sunny,1600,Automatic,2011,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'EBD', 'Fog Lights', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'USB Charger']"
1630,BMW,X3,1800 - 2000,Automatic,2014,"['Air Conditioning', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Bluetooth System', 'EBD', 'Keyless Start', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Roof Rack', 'Touch Screen', 'USB Charger']"
1631,Lada,2106,1600,Automatic,2016,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Leather Seats', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Windows', 'Rear View Camera', 'Touch Screen', 'USB Charger']"
1632,Nissan,Pickup,,Manual,2016,[]
1633,Mitsubishi,Pickup,,Manual,2007,[]
1634,Volkswagen,Jetta,1800 - 2000,Automatic,2008,"['ABS', 'Air Conditioning', 'Airbags', 'Aux Audio In', 'Bluetooth System', 'EBD', 'Rear View Camera', 'Touch Screen']"
1635,Chevrolet,Pickup/Dababa,2200 - 2800,Manual,2018,['Aux Audio In']
1636,Fiat,Tipo,1400 - 1500,Automatic,2018,"['Air Conditioning', 'Airbags', 'AM/FM Radio', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Leather Seats', 'Off-Road Tyres', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Touch Screen', 'USB Charger']"
1637,Jac,J7,1600,Automatic,2022,[]
1638,Nissan,Sunny,1600,Automatic,2022,[]
1639,Mercedes-Benz,B180,1600,Automatic,2014,[]
1640,Zotye,T600,1400 - 1500,Automatic,2019,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
1641,Subaru,XV,1600,Automatic,2016,[]
1642,Renault,Logan,1600,Automatic,2020,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Power Locks', 'Power Seats', 'Power Steering', 'Power Windows', 'USB Charger']"
1643,Citroen,C-Elysée,1600,Automatic,2022,[]
1644,Renault,Logan,1600,Automatic,2022,[]
1645,MG,HS,,Automatic,2022,[]
1646,Mercedes-Benz,CLS,1800 - 2000,Automatic,2020,[]
1647,Jac,J7,1400 - 1500,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
1648,MG,RX5,1400 - 1500,Automatic,2022,[]
1649,Opel,Mokka,1000 - 1300,Automatic,2023,[]
1650,Citroen,C5,1600,Automatic,2023,[]
1651,Jeep,Grand Cherokee,More than 3000,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
1652,Chery,Arrizo 5,1400 - 1500,Automatic,2023,[]
1653,Daewoo,Lanos,1400 - 1500,Manual,2011,"['ABS', 'Air Conditioning', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'EBD', 'Fog Lights', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Touch Screen', 'USB Charger']"
1654,Hyundai,Elantra,1600,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Aux Audio In', 'Bluetooth System', 'EBD', 'Off-Road Tyres', 'Power Locks', 'Power Windows', 'Rear View Camera', 'USB Charger']"
1655,Fiat,Tipo,1600,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Leather Seats', 'Off-Road Tyres', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Touch Screen', 'USB Charger']"
1656,Renault,Duster,1600,Manual,2013,[]
1657,Hyundai,Accent,1600,Automatic,2022,"['Air Conditioning', 'Alarm/Anti-Theft System', 'Aux Audio In', 'Bluetooth System', 'Fog Lights', 'Off-Road Tyres', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'USB Charger']"
1658,Subaru,XV,1600,Automatic,2016,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
1659,Suzuki,Ertiga,1400 - 1500,Automatic,2022,[]
1660,Hyundai,I20,1400 - 1500,Automatic,2022,[]
1661,Toyota,Corolla,1600,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Touch Screen', 'USB Charger']"
1662,Chery,Arrizo 5,1400 - 1500,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Leather Seats', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Rear View Camera', 'Sunroof', 'Touch Screen', 'USB Charger']"
1663,Suzuki,Vitara,1600,Automatic,2022,[]
1664,Suzuki,Ciaz,1400 - 1500,Automatic,2022,[]
1665,Hyundai,Elantra,1600,Automatic,2022,[]
1666,Hyundai,Bayon,1400 - 1500,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'USB Charger']"
1667,Chrysler,Town and Country,More than 3000,Automatic,2012,"['Air Conditioning', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Touch Screen', 'USB Charger']"
1668,Fiat,Tipo,1600,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'USB Charger']"
1669,Fiat,Regata,1400 - 1500,Manual,1986,"['Air Conditioning', 'AM/FM Radio', 'Bluetooth System', 'Leather Seats', 'Power Locks', 'Power Windows', 'USB Charger']"
1670,Changan,Benni mini,1000 - 1300,Automatic,2016,"['ABS', 'Air Conditioning', 'AM/FM Radio', 'Aux Audio In', 'Fog Lights', 'Leather Seats', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims']"
